value,group,condition
4.40E+08,Firm5-1,G
4.90E+08,Firm5-1,G
4.80E+08,Firm5-1,G
3.93E+08,Firm5-2,G
4.00E+08,Firm5-2,G
3.41E+08,Firm5-2,G
4.05E+07,Firm5-3,G
7.00E+07,Firm5-3,G
8.60E+07,Firm5-3,G
8.30E+08,Firm5-4,G
6.90E+08,Firm5-4,G
7.80E+08,Firm5-4,G
5.60E+08,All,G
6.50E+08,All,G
2.95E+08,All,G
8.00E+07,Firm5-1,PE
2.97E+08,Firm5-1,PE
5.70E+08,Firm5-1,PE
1.07E+08,Firm5-2,PE
1.13E+08,Firm5-2,PE
1.07E+08,Firm5-2,PE
9.65E+07,Firm5-3,PE
1.35E+07,Firm5-3,PE
2.15E+07,Firm5-3,PE
4.50E+08,Firm5-4,PE
9.55E+07,Firm5-4,PE
9.40E+07,Firm5-4,PE
1.21E+08,All,PE
1.16E+08,All,PE
1.20E+08,All,PE
2.38E+08,Firm5-1,PG
2.24E+08,Firm5-1,PG
2.84E+08,Firm5-1,PG
1.05E+08,Firm5-2,PG
9.70E+07,Firm5-2,PG
9.35E+07,Firm5-2,PG
2.25E+07,Firm5-3,PG
1.45E+08,Firm5-3,PG
3.30E+07,Firm5-3,PG
4.95E+07,Firm5-4,PG
7.00E+07,Firm5-4,PG
8.25E+07,Firm5-4,PG
1.10E+08,All,PG
8.70E+07,All,PG
1.01E+08,All,PG