value,group,condition,inoculum
1.41E+08,Firm5-1,SW_PG,4.43E+04
1.78E+08,Firm5-1,SW_PG,4.43E+04
8.57E+06,Firm5-1,SW_PG,4.43E+04
3.27E+08,Firm5-1,SW_PG,4.43E+04
1.69E+08,Firm5-1,SW_PG,4.43E+04
5.56E+08,Firm5-1,SW_PG,4.43E+04
2.11E+08,Firm5-1,SW_PG,4.43E+04
1.46E+08,Firm5-1,SW_PG,4.43E+04
1.34E+08,Firm5-1,SW_PG,4.43E+04
1.29E+08,Firm5-2,SW_PG,6.00E+03
1.85E+08,Firm5-2,SW_PG,6.00E+03
1.60E+08,Firm5-2,SW_PG,6.00E+03
6.88E+07,Firm5-2,SW_PG,6.00E+03
2.45E+08,Firm5-2,SW_PG,6.00E+03
1.30E+08,Firm5-2,SW_PG,6.00E+03
1.58E+08,Firm5-2,SW_PG,6.00E+03
4.89E+07,Firm5-2,SW_PG,6.00E+03
1.31E+08,Firm5-2,SW_PG,6.00E+03
1.45E+08,Firm5-2,SW_PG,6.00E+03
6.10E+07,Firm5-3,SW_PG,1.45E+03
1.25E+08,Firm5-3,SW_PG,1.45E+03
2.63E+08,Firm5-3,SW_PG,1.45E+03
1.72E+09,Firm5-3,SW_PG,1.45E+03
1.47E+08,Firm5-3,SW_PG,1.45E+03
1.14E+08,Firm5-3,SW_PG,1.45E+03
1.41E+08,Firm5-3,SW_PG,1.45E+03
1.80E+08,Firm5-3,SW_PG,1.45E+03
2.03E+08,Firm5-3,SW_PG,1.45E+03
3.83E+08,Firm5-4,SW_PG,1.93E+04
2.63E+08,Firm5-4,SW_PG,1.93E+04
1.71E+08,Firm5-4,SW_PG,1.93E+04
2.22E+08,Firm5-4,SW_PG,1.93E+04
2.86E+08,Firm5-4,SW_PG,1.93E+04
3.04E+08,Firm5-4,SW_PG,1.93E+04
2.20E+08,Firm5-4,SW_PG,1.93E+04
1.48E+08,Firm5-4,SW_PG,1.93E+04
3.25E+08,Firm5-4,SW_PG,1.93E+04
3.16E+08,Firm5-4,SW_PG,1.93E+04
1.09E+08,All,SW_PG,1.08E+04
1.46E+08,All,SW_PG,1.08E+04
2.59E+08,All,SW_PG,1.08E+04
1.98E+08,All,SW_PG,1.08E+04
4.03E+08,All,SW_PG,1.08E+04
2.83E+08,All,SW_PG,1.08E+04
2.20E+08,All,SW_PG,1.08E+04
3.02E+08,All,SW_PG,1.08E+04
1.73E+08,All,SW_PG,1.08E+04
2.84E+08,All,SW_PG,1.08E+04
1.63E+06,Firm5-1,SW,4.43E+04
3.91E+06,Firm5-1,SW,4.43E+04
7.10E+06,Firm5-1,SW,4.43E+04
2.10E+06,Firm5-1,SW,4.43E+04
2.13E+07,Firm5-1,SW,4.43E+04
1.20E+07,Firm5-1,SW,4.43E+04
7.40E+06,Firm5-1,SW,4.43E+04
5.79E+06,Firm5-1,SW,4.43E+04
7.18E+06,Firm5-2,SW,6.00E+03
1.98E+07,Firm5-2,SW,6.00E+03
2.90E+07,Firm5-2,SW,6.00E+03
1.10E+07,Firm5-2,SW,6.00E+03
4.28E+07,Firm5-2,SW,6.00E+03
1.18E+07,Firm5-2,SW,6.00E+03
1.09E+07,Firm5-2,SW,6.00E+03
1.33E+07,Firm5-2,SW,6.00E+03
6.17E+06,Firm5-2,SW,6.00E+03
4.90E+06,Firm5-3,SW,1.45E+03
3.90E+07,Firm5-3,SW,1.45E+03
3.73E+07,Firm5-3,SW,1.45E+03
3.43E+07,Firm5-3,SW,1.45E+03
5.00E+07,Firm5-3,SW,1.45E+03
2.03E+07,Firm5-3,SW,1.45E+03
3.84E+07,Firm5-3,SW,1.45E+03
3.75E+07,Firm5-3,SW,1.45E+03
1.23E+07,Firm5-3,SW,1.45E+03
4.90E+07,Firm5-4,SW,1.93E+04
6.03E+07,Firm5-4,SW,1.93E+04
7.97E+07,Firm5-4,SW,1.93E+04
6.88E+07,Firm5-4,SW,1.93E+04
1.27E+08,Firm5-4,SW,1.93E+04
5.63E+07,Firm5-4,SW,1.93E+04
6.78E+07,Firm5-4,SW,1.93E+04
2.50E+07,All,SW,1.08E+04
1.35E+07,All,SW,1.08E+04
4.88E+05,All,SW,1.08E+04
1.60E+07,All,SW,1.08E+04
7.75E+06,All,SW,1.08E+04
3.48E+07,All,SW,1.08E+04
1.65E+07,All,SW,1.08E+04
1.67E+07,All,SW,1.08E+04
3.48E+07,All,SW,1.08E+04
2.53E+07,All,SW,1.08E+04